Título atribuído	Outras remetências de título:	Categorias	Material original	Ano	País	Cidade	Estado	Sinopse	Termos descritores	Descritores secundários	Termos geográficos	Produção	Conteúdo examinado	Fontes utilizadas:	Fontes consultadas:	Observações:
CINE JORNAL BRASILEIRO. V.1, SN-2	REGIME PENITENCIÁRIO NO BRASIL; CINE JORNAL BRASILEIRO. SV, SN	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 270m, 24q	1940	BR	Rio de Janeiro	DF	"Regime Penitenciário no Brasil". Visão geral das dependências da Penitenciária de São Paulo. O cotidiano dos detentos com o trabalho nas plantações, a criação de animais e o preparo das refeições. As atividades na biblioteca, na sala de artes e os ensaios do orfeão. Os serviços de barbearia, alfaiataria, sapataria, serraria e o preparo de pães pelos detentos. A assistência médica e odontológica para os internos. A prática religiosa na capela da penitenciária. No pátio principal, exibição de ginástica coletiva acompanhada de fanfarra dos detentos. No prédio da administração, membros do conselho discutem pedidos de livramento condicional.	Presídio; Trabalho; Jardinagem; Horticultura; Alimentação; Arte; Medicina; Igreja Católica; Esporte	Penitenciária de São Paulo, São Paulo - SP; Carandiru, São Paulo - SP; Artes plásticas; Música; Odontologia; Ginástica; Fanfarra	Penitenciária de São Paulo, São Paulo - SP; Carandiru, São Paulo - SP	Companhia(s) produtora(s): D.I.P. - Departamento de Imprensa e Propaganda	S	CB/Transcrição de letreiros Site, Instituto São Paulo Antiga, Penitenciária de São Paulo, disponível em: https://saopauloantiga.com.br/penitenciaria-de-sao-paulo/, acesso em: 11.07.2023.	CB/CJB-DIP-1938-1946/1982 JIMS/RTJT/2015	CB/Transcrição de letreiros indica análise de conteúdo realizada a partir de material incompleto. Esta obra foi processada no âmbito do Projeto <Nitratos da Cinemateca Brasileira - Preservação e Acesso> - <Pronac 212939>, 2021, patrocinado pelo <Instituto Cultural Vale> e <Shell do Brasil>.
CINE JORNAL ACTUALIDADES. N.028		Cinejornal / Sonoro / Não ficção	35mm, BP, 116,5m, 24q	1935	BR	Juiz de Fora	MG	"Carriço Filme apresenta Cine-Jornal Actualidades n.28" O Prefeito Menelick de Carvalho comparece à inauguração do Posto e Garagem São Cristóvão de propriedade do Cel. Edgar Vitor.	Comércio; Petróleo; Futebol; Efeméride; Ensino; Música popular; Publicidade; Saúde	Posto e Garagem São Cristóvão; Liga Brasileira de Esportes; Dia do Estudante; Orquidário; Porto; Jardinagem; Tifo; IPES	Juiz de Fora - MG; Avenida Rio Branco, Rio de Janeiro - DF; Praça Paris, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): Carriço Filme	S	Material examinado CENS/DOU		Certificado de censura reproduzido no material examinado informa: 147m, em 3 cópias, com menção à mensagem publicitária: "Conselho da Saúde Pública: A vaccina contra o typho é vantajosa e segura. Ninguem deve empreender uma viagem sem se vaccinar previamente. Ipes".
CINE JORNAL BRASILEIRO. N.002		Cinejornal / Sonoro / Não ficção	35mm, BP, 165m, 24q	1938	BR	Rio de Janeiro	DF	"A Chegada do Cardeal D. Sebastião Leme." "O Encerramento da 'Semana da Asa' no Campo dos Afonsos."	Efeméride; Aviação; Igreja Católica	Campo dos Afonsos; Aeroporto Santos Dumont	Rio de Janeiro - DF; Santa Cruz - RJ	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Diário de São Paulo/estudo		Realizado inteiramente na <Cinédia> S.A. O cinejornal não apresenta entrada por volume até o número 3.
CINE JORNAL BRASILEIRO. N.003		Cinejornal / Sonoro / Não ficção	35mm, BP, 160m, 24q	1938	BR	Rio de Janeiro	DF	"Serviço de salvamento - Rio: Em Copacabana, são lançados ao mar novos barcos salva-vidas." "Exposição Filatélica - Rio: 26 países representando o total de 50.000 contos em selos."	Marinha; Embarcação; Exposição; Filatelia; Café; Filantropia; Índio	Cinema; Cinédia; Prefeitura do Distrito Federal; Serviço de Salvamento; Exposição Filatélica Internacional; Feira de Amostras, 11, Rio de Janeiro; Departamento Nacional do Café; Missão Indígena	Rio de Janeiro - DF; Copacabana, Rio de Janeiro - DF; Morro do Corcovado, Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente na <Cinédia> S.A. Jornal sem numeração por volume até este número.
CINE JORNAL BRASILEIRO. V.1, N.004		Cinejornal / Sonoro / Não ficção	35mm, BP, 165m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.005		Cinejornal / Sonoro / Não ficção	35mm, BP, 153m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.006		Cinejornal / Sonoro / Não ficção	35mm, BP, 156m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.007		Cinejornal / Sonoro / Não ficção	35mm, BP, 160m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.008		Cinejornal / Sonoro / Não ficção	35mm, BP, 170m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.009		Cinejornal / Sonoro / Não ficção	35mm, BP, 141m, 24q	1938	BR	Rio de Janeiro	DF	"A Polícia do Distrito Federal em manobras de fim de ano-1938." "Aspectos do ataque à posição defensiva-sumariamente organizada."	Polícia; Polícia Militar do Distrito Federal; Ensino		Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.010	INAUGURAÇÃO DO HOSPITAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 159m, 24q	1938	BR	Rio de Janeiro	DF	"Mais um hospital - DF: Inaugura-se na Penha o Hospital Getúlio Vargas". Com 300 leitos para a população, dá-se início ao serviço hospitalar da unidade. "Dia da Propaganda - Rio: Almoço oferecido pela Associação Brasileira de Propaganda". No Automóvel Clube do Brasil, autoridades em almoço oferecido pela ABP.	Hospital; Efeméride; Publicidade; Exército; Marinha; Esporte	Hospital Getúlio Vargas, Rio de Janeiro - DF; Automóvel Clube do Brasil, Rio de Janeiro - DF; Dia da Propaganda; ABP - Associação Brasileira de Propaganda; Semana de Confraternização das Classes Armadas, I, 1938; Escola Militar do Realengo, Rio de Janeiro - DF; Escola Naval, Rio de Janeiro - DF	Hospital Getúlio Vargas, Rio de Janeiro - DF; Automóvel Clube do Brasil, Rio de Janeiro - DF; Escola Militar do Realengo, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento Nacional de Propaganda	S	CB/Descrição de conteúdo CENS/II	Site, Rio Prefeitura, Automóvel Clube, disponível em: http://www0.rio.rj.gov.br/patrimonio/proj_auto_clube.shtm, acesso em: 27.06.2023. Site, propmark, Associação Brasileira de Propaganda, disponível em: https://propmark.com.br/conheca-a-historia-da-associacao-brasileira-de-propaganda-abp/, acesso em: 27.06.2023.	Cinédia/Arquivo indica que foi realizado inteiramente na <Cinédia> S.A. CB/Descrição de conteúdo indica análise de conteúdo realizada a partir de material incompleto. Mesma fonte informa tratar-se de uma produção do <Departamento Nacional de Propaganda>.
CINE JORNAL BRASILEIRO. V.1, N.011 - EDIÇÃO ESPECIAL		Cinejornal / Sonoro / Não ficção	35mm, BP, 24q	1938	BR	Rio de Janeiro	DF	"No Palácio Tiradentes - Rio: Ao Chefe do Governo é lido e entregue o Estatuto dos Funcionários Públicos Civis." Getúlio, entre outras autoridades, em uma tribuna. O presidente lê documento. "Confraternização das Classes Armadas - Rio: Realizam-se as provas esportivas entre o Exército e a Marinha." Fachada de prédio, canhão, caminhões do Exército trazendo soldados e oficiais que se reencontram. Marinheiros e oficiais chegam em grandes botes. Moças entregam flores. Atletas em provas de corrida, saltos, arremessos de discos, regatas, cabo de guerra, etc. Carro da Agência Nacional de Propaganda, planos da assistência, atletas recebem cumprimentos.	Funcionalismo público; Esporte; Exército; Marinha; Exposição	Palácio Tiradentes; Semana de Confraternização das Classes Armadas, I; Escola Naval; Atletismo; Remo; Departamento Nacional de Propaganda; Feira de Amostras, 11, Rio de Janeiro; Estado Novo	Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CB/FI		Embora tenha sido censurado em 1939 estamos considerando, para entrada, a data de produção que certamente ocorreu em 1938. Realizado inteiramente na <Cinédia> S.A.
CINE JORNAL BRASILEIRO. V.1, N.012		Cinejornal / Sonoro / Não ficção	35mm, BP, 160m, 24q	1938	BR	Rio de Janeiro	DF	"Movimento do Aeroporto 'Santos Dumont'."	Aviação; Aeroporto Santos Dumont	Viação Aérea São Paulo; PanAmerican; Panair	Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/I		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado.
CINE JORNAL BRASILEIRO. V.1, N.013		Cinejornal / Sonoro / Não ficção	35mm, BP, 160m, 24q	1939	BR	Rio de Janeiro	DF	"Encerra-se, no Rio de Janeiro, a Semana de Confraternização das Classes Armadas." Grupamentos do Exército e da Marinha marcham da Praça Mauá à praia de Botafogo onde prestam continência diante do monumento do Almirante Tamandaré. No campo do Fluminense, encerramento da I Olimpíada de Confraternização das Classes Armadas, na qual o Exército saiu vencedor. Soldados e fuzileiros navais executam números de ginástica rítmica. O 14 R.I. faz demonstração de ataque e defesa. O Presidente discursa sob aplausos. Encerramento com o Hino Nacional.	Esporte; Exército; Marinha	Estádio do Fluminense F.C.; Semana de Confraternização das Classes Armadas, I; Regimento de Infantaria, 14; Fuzileiros Navais; Monumento do Almirante Tamandaré, Rio de Janeiro - DF; Monumento do Duque de Caxias, Rio de Janeiro - DF; Olimpíada de Confraternização das Classes Armadas, I; Ginástica	Rio de Janeiro - DF; Praça Mauá, Rio de Janeiro - DF; Praia do Botafogo, Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CB/FI		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado.
CINE JORNAL BRASILEIRO. V.1, N.014	CINE JORNAL BRASILEIRO. N.014	Cinejornal / Sonoro / Não ficção	35mm, BP, 167m, 24q	1939	BR	Rio de Janeiro	DF	"Com o discurso de S. Excia. o Presidente da República, no dia 31 de dezembro". (JIMS/OESP)	Efeméride; Natal	Ano-Novo		Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II JIMS/OESP		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.015		Cinejornal / Sonoro / Não ficção	35mm, BP, 6min, 165m, 24q	1939	BR	Rio de Janeiro	DF	"Nova unidade da Marinha Nacional - Rio: É lançado ao mar o Paraguassu." "Rasgando estradas - Bahia: Inaugura-se a estrada de rodagem transnordestina."	Marinha; Embarcação; Rodovia; Obra Pública; Economia; Terrorismo; Indústria; Ferrovia; Polícia; Ensino; Exército	Paraguassu - embarcação; Rodovia Transnordestina; Conselho Federal de Comércio Exterior; Polícia Civil do Distrito Federal; Integralismo; Comunismo; Estrada de Ferro Leste Brasileira; Polícia Militar do Distrito Federal; Escola de Volteios da Polícia Militar do Distrito Federal; Regimento de Cavalaria da Polícia Militar	Rio de Janeiro - DF; BA	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	CB/FI CENS/II		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.016		Cinejornal / Sonoro / Não ficção	35mm, BP, 220m, 24q	1939	BR	Rio de Janeiro	DF	"Heróis da Pátria - Inaugura-se, na Praia Vermelha, o monumento aos heróis de Laguna e Dourados." O presidente Vargas inaugura o monumento diante de soldados perfilados; detalhes do monumento; a cavalaria. "Energia Elétrica - Minas Gerais: Ultima-se a barragem do Rio Santa Bárbara." Estágio das obras de construção.	Obra Pública; Monumento; Energia; Metalurgia; Indústria; Urbanismo; Boxe	Monumento aos Heróis de Laguna e Dourados, Rio de Janeiro - DF; Energia elétrica; Usina hidrelétrica; Exposição do Estado Novo	Rio de Janeiro - DF; Praia Vermelha, Rio de Janeiro - DF; Monlevade - MG; Rio Santa Bárbara; Salvador - BA	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CB/FI		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.017		Cinejornal / Sonoro / Não ficção	35mm, BP, 5min, 147m, 24q	1939	BR	Rio de Janeiro	DF	"Para a eleição do Sumo Pontífice - Rio: Embarca para Roma o Cardeal D.Leme." "Socorro para o Chile - Rio: O Brasil envia para o Chile medicamentos e víveres."	Igreja Católica; Diplomacia - BR; Assistência Social; Extrativismo; Turismo; Previdência Social; Alimentação; Porto; Embarcação; Aviação	Roma - IT; CL; PanAmerican; Cruz Vermelha Brasileira; Prudente de Morais - embarcação; Cruz Vermelha Chilena; Sal; Normandie - embarcação; Mocanguê - embarcação; Estado Novo; RS; Bandeirante - embacação; Uva; Empresa Exportadora Francisco Castiglio	Rio de Janeiro - DF; Cabo Frio - RJ	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.018		Cinejornal / Sonoro / Não ficção	35mm, BP, 7min, 190m, 24q	1939	BR	Rio de Janeiro	DF	"Na Exposição do Estado Novo - Rio: Provas esportivas e de motocicletas pela Polícia Especial." "Casa do Jornaleiro - Rio: É lançada a pedra fundamental pela senhora Darcy Vargas."	Exposição; Esporte; Polícia; Motociclismo; Assistência Social; Obra Pública; Diplomacia; Embarcação; Corpo de Bombeiros; Vegetação	Polícia Especial do Distrito Federal - Seção Motorizada; Exposição do Estado Novo; Casa do Pequeno Jornaleiro; Fundação Darcy Vargas; Conferência Panamericana, 8; Conte Grande - embarcação; Aeroporto Santos Dumont; PanAmerican; Jardim Botânico do Rio de Janeiro	Rua do Livramento, Rio de Janeiro - DF; Ponta do Calabouço, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/I		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.019		Cinejornal / Sonoro / Não ficção	35mm, BP, 5min, 130m, 24q	1939	BR	Rio de Janeiro	DF	"Conferência de Montevidéo - Rio: Chega do Uruguai o ministro Souza Costa." A Reunião Internacional de Ministros da Fazenda contou com representantes do Brasil, Uruguai, Paraguai e Argentina. "Natação - Rio: A grande Prova Popular de Natação Urca-Rampa do Flamengo." A prova foi promovida pelo jornal A Noite.	Embarcação; Porto; Diplomacia; Economia; Natação; Esporte; Imprensa; Petróleo	Reunião Internacional de Ministros da Fazenda; UY; PY; AR; Augustus - embarcação; Flamengo FR; Prova Popular de Natação Urca-Rampa do Flamengo, 1939; Noite, A; Conselho Nacional do Petróleo	Urca, Rio de Janeiro - DF; Praia do Flamengo, Rio de Janeiro - DF; Rio de Janeiro - DF; Itapagipe - BA; Salvador - BA	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CB/FI		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.020		Cinejornal / Sonoro / Não ficção	35mm, BP, 230m, 24q	1939	BR	Rio de Janeiro	DF	"Aqueles que amam a sua terra."	Política	Patriotismo		Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.021		Cinejornal / Sonoro / Não ficção	35mm, BP, 207m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.022		Cinejornal / Sonoro / Não ficção	35mm, BP, 148m, 24q	1939	BR	Rio de Janeiro	DF	"Este filme é uma oferta do Departamento Nacional de Propaganda ao Governo do Rio de Janeiro sob a administração do interventor Comt. Amaral Peixoto."	Ensino; Lazer; Turismo; Colônia de Férias de Cabo Frio	Departamento de Educação do Estado do Rio de Janeiro; Peixoto, Amaral; Puericultura; Grupo Escolar Francisco Sá, Cabo Frio - RJ; Grupo Escolar Jansen de Melo, Cabo Frio - RJ	Vassouras - RJ; Cabo Frio - RJ	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.023		Cinejornal / Sonoro / Não ficção	35mm, BP, 172m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.024		Cinejornal / Sonoro / Não ficção	35mm, BP, 202m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.025		Cinejornal / Sonoro / Não ficção	35mm, BP, 168m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.026		Cinejornal / Sonoro / Não ficção	35mm, BP, 172m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.027	CINE JORNAL BRASILEIRO. N.027	Cinejornal / Sonoro / Não ficção	35mm, BP, 140m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.028		Cinejornal / Sonoro / Não ficção	35mm, BP, 155m, 24q	1939	BR	Rio de Janeiro	DF	"Inauguração da Estrada Rio-Caxambu."	Obra Pública; Rodovia; Estrada Rio-Caxambu		RJ	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.029		Cinejornal / Sonoro / Não ficção	35mm, BP, 6min, 170m, 24q	1939	BR	Rio de Janeiro	DF	"Imprensa Estrangeira - Rio: Correspondentes da Imprensa Estrangeira oferecem um almoço ao Diretor do D.N.P."	Imprensa; Estado Novo; Turismo; Geografia; Agricultura; Rodovia; Obra pública	Departamento Nacional de Propaganda; Feira Mundial de Nova York; Brazil - navio; Moore-McCormick; Rodovia Areias-Caxambu	Rio de Janeiro - DF; Praia da Boa Viagem, Niterói - RJ; Niterói - RJ; Vale do Paraíba; Rio Paraíba; Areias - SP	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/I		Realizado pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.030		Cinejornal / Sonoro / Não ficção	35mm, BP, 7min, 211m, 24q	1939	BR	Rio de Janeiro	DF	"Seguro Social - Rio: 25 casas para os estivadores do Distrito Federal." "Copa América - Rio: Os brasileiros venceram o Campeonato Sul-Americano de Basquete."	Previdência Social; Habitação; Obra Pública; Basquete; Esporte; Escotismo; Marinha; Diplomacia - AR; Igreja Católica; Turismo; Embarcação	Campeonato Sul-Americano de Basquete; Copa América de Basquetebol; Quinta da Boa Vista, Rio de Janeiro - DF; Federação Carioca de Escotismo; La Argentina - embarcação; Augustus - embarcação	Rio de Janeiro - DF; Caxambu - MG	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.031		Cinejornal / Sonoro / Não ficção	35mm, BP, 220m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.032		Cinejornal / Sonoro / Não ficção	35mm, BP, 210m, 24q	1939	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.033		Cinejornal / Sonoro / Não ficção	35mm, BP, 270m, 24q	1939	BR	Rio de Janeiro	DF	"Revoada à Sorocabana."	Aeronáutica; Marinha; Exército	Departamento de Aeronáutica Civil; Aeroporto de Congonhas; Base Naval de Santos; Regimento de Aviação, 2	São Paulo - SP; Itatinga - SP; Avaré - SP; Santa Cruz do Rio Pardo - SP; Ipauçu - SP; Salto Grande - SP; Assis - SP; Paraguaçu - SP; Rancharia - SP; Presidente Prudente - SP; PortoTibiriça - SP; Santo Anastácio - SP; Presidente Venceslau - SP; Região Sorocabana - SP; Santos - SP; Rio Paraná	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/I		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.034		Cinejornal / Sonoro / Não ficção	35mm, BP, 198m, 24q	1939	BR	Rio de Janeiro	DF	"Castro Alves - Rio: Comemora-se diante da herma deste poeta o 92o.aniversário do seu nascimento." "Do plantador diretamente ao consumidor - Rio: Produtos hortícolas de Santa Cruz vendidos pelo Ministério da Agricultura."	Monumento; Literatura; Alves, Castro; Agricultura; Comércio; Salário; Natação; Turismo; Fazenda	Herma de Castro Alves, Rio de Janeiro - DF; Ministério da Agricultura; Banana; Aipim; Batata; Mandioca; Cooperativa de Santa Cruz; Gasogênio; Trabalho; Salário Mínimo; Campeonato Carioca Infanto-Juvenil de Natação, 1939; Clube de Regatas Guanabara; Pecuária	Rio de Janeiro - DF; Santa Cruz - RJ; Itaipava - RJ	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.035		Cinejornal / Sonoro / Não ficção	35mm, BP, 180m, 24q	1939	BR	Rio de Janeiro	DF	"Problema do Trânsito - Rio: O congresso de trânsito realizado no Rio de Janeiro movimenta a cidade." "Em Pará de Minas - Est. de M. Gerais: O Governador de Minas Gerais recebe em sua fazenda o presidente Getulio Vargas."	Trânsito; Conferência; Governo Estadual; Esporte; Geografia; Diplomacia - UY	Semana do Trânsito; Transporte Coletivo; Viação Glória; Motonáutica; Palácio Guanabara; Missão Militar e Cultural Uruguaia	Enseada de Botafogo, Rio de Janeiro - DF; Rio de Janeiro - DF; Pará de Minas - MG; Praça Getulio Vargas, Poços de Caldas - MG; Poços de Caldas - MG	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/I		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.036	CINE JORNAL BRASILEIRO. 1x36	Cinejornal / Sonoro / Não ficção	35mm, BP, 210m, 24q	1939	BR	Rio de Janeiro	DF	"Conselho Federal de Comércio Exterior - Rio: Posse dos novos conselheiros." "Combate à tuberculose - Rio: No Palácio Tiradentes instala-se, com solenidade, o 1o.Congresso Nacional de Tuberculose."	Economia; Conferência; Saúde; Geografia; Ensino; Agricultura; Pecuária; Diplomacia - UY; Obra Pública	Conselho Federal de Comércio Exterior; Palácio Tiradentes, Rio de Janeiro - DF; Tuberculose; Congresso Nacional de Tuberculose, 1; Transporte coletivo; Panair; Aeroporto de Poços de Caldas; Rodovia; Ferrovia; Palácio Guanabara; Missão Militar e Cultural Uruguaia	Rio de Janeiro - DF; Poços de Caldas - MG; Florestal - MG	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente pela <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
