Título atribuído	Outras remetências de título:	Categorias	Material original	Ano	País	Cidade	Estado	Sinopse	Termos descritores	Descritores secundários	Termos geográficos	Produção	Conteúdo examinado	Fontes utilizadas:	Fontes consultadas:	Observações:
CINE JORNAL BRASILEIRO. V.3, N.011	CINE JORNAL BRASILEIRO. 3x11	Cinejornal / Sonoro / Não ficção	35mm, BP, 7min, 227m, 24q	1943	BR	Rio de Janeiro	DF	"Obras Públicas - Rio: O presidente Getúlio Vargas visita o novo edifício do Ministério da Fazenda." "Remo - Niterói: O Vasco da Gama vence a terceira regata da temporada."	Solenidade; Obra Pública; Remo; Governo Estadual; Hospital; Marinha; Embarcação; Exército	Ministério da Fazenda; C. R. Vasco da Gama; Hospital das Clínicas de Porto Alegre; Corveta Barreto de Menezes; CPOR - Centro de Preparação de Oficiais da Reserva	Rio de Janeiro - DF; Niterói - DF; Porto Alegre - RS; Ilha do Viana, Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem.
CINE JORNAL BRASILEIRO. V.3, N.012	CINE JORNAL BRASILEIRO. 3x12	Cinejornal / Sonoro / Não ficção	35mm, BP, 12min, 325m, 24q	1943	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora a fonte não informe.
CINE JORNAL BRASILEIRO. V.3, N.013	CINE JORNAL BRASILEIRO. 3x13	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 260m, 24q	1943	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II JIMS/OESP		
CINE JORNAL BRASILEIRO. V.3, N.014	CINE JORNAL BRASILEIRO. 3x14	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 275m, 24q	1943	BR	Rio de Janeiro	DF	"Exército - Rio: Uma cerimônia cívica no quartel do 3o. Batalhão de Carros de Combate." "Na Igreja da Candelária - Rio: Honras fúnebres são prestadas a memória do general Sikorski."	Solenidade; Exército; Morte; Igreja Católica; Automóvel; Governo Federal; Hospital; Solenidade; Justiça; Campanha; Guerra Mundial, 2; Visita Estrangeira - BO; Exposição; Diplomacia - AR; Solenidade; Marinha	Igreja da Candelária, Rio de Janeiro - DF; Palácio do Catete, Rio de Janeiro - DF; Museu Nacional de Belas Artes, Rio de Janeiro - DF; Palácio do Itamarati, Rio de Janeiro - DF; Escola Naval, Rio de Janeiro - DF; Batalhão de Carros de Combate, 3; Sikorski, Ladislau; DIP - Departamento de Imprensa e Propaganda; Campanha Nacional de Borracha Usada; Azulejo	Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		O certificado de censura foi estabelecido a partir da cópia.
CINE JORNAL BRASILEIRO. V.3, N.015	CINE JORNAL BRASILEIRO. 3x15	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 256m, 24q	1943	BR	Rio de Janeiro	DF	"Exército - Rio: O Batalhão de Guardas festeja o seu 10o. aniversário." "Justiça - Rio: A sessão inaugural da Conferência dos Desembargadores - Visita ao Presidente Getúlio Vargas."	Solenidade; Exército; Justiça; Conferência; Indústria; Extrativismo; Movimento Estudantil; Restaurante; Ensino; Exército; Armamento	Palácio Tiradentes, Rio de Janeiro - DF; Batalhão de Guardas; Monazita; Ilmenita; Guerra Mundial, 2; Congresso Panamericano de Educação Física; UNE - União Nacional dos Estudantes; Congresso Nacional de Estudantes, 6; Artilharia de Costa	Rio de Janeiro - DF; ES; Baía da Guanabara	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		
CINE JORNAL BRASILEIRO. V.3, N.016	CINE JORNAL BRASILEIRO. 3x16; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 8min, 222m, 24q	1943	BR	Rio de Janeiro	DF	"Estradas de Ferro Nacionais: A rede da Viação Férrea do Rio Grande do Sul."	Ferrovia	Viação Férrea do Rio Grande do Sul; Linha São Borja-São Pedro; Linha Montevidéo-São Paulo; Extrativismo; Madeira; Arroio Toropi	Gramado - RS; Santa Maria - RS; Carazinho - RS	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem.
CINE JORNAL BRASILEIRO. V.3, N.017	CINE JORNAL BRASILEIRO. 3x17	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 260m, 24q	1943	BR	Rio de Janeiro	DF	"Campanha da Aviação - Rio: Estudantes entregam ao presidente Getúlio Vargas um cheque de 295.000 cruzeiros." "Assistência Social - Rio: Os cegos realizam um desfilem em homenagem ao governo."	Campanha; Governo Federal; Aviação; Desfile; Solenidade; Governo Federal; Exposição; Correio; Juventude; Solenidade; Hipismo; Exposição; Solenidade; Exército	Hipódromo da Gávea, Rio de Janeiro - DF; Escola Nacional de Belas Artes, Rio de Janeiro - DF; Escola do Estado Maior do Exército, Rio de Janeiro - DF; Campanha da Aviação; Selo; Exposição do Centenário do Selo Postal Brasileiro; Congresso Nacional de Estudantes, 4; DIP - Departamento de Imprensa e Propaganda; UNE - União Nacional dos Estudantes; Cavalo Albatroz; Grande Prêmio Brasil; DASP - Departamento Administrativo do Serviço Público; Exposição-Material no Serviço Público	Rio de Janeiro - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		
CINE JORNAL BRASILEIRO. V.3, N.018	CINE JORNAL BRASILEIRO. 3x18	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 293m, 24q	1943	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II JIMS/OESP		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem.
CINE JORNAL BRASILEIRO. V.3, N.019	CINE JORNAL BRASILEIRO. 3x19	Cinejornal / Sonoro / Não ficção	35mm, BP, 9min, 246m, 24q	1943	BR	Rio de Janeiro	DF	"Estatística - Rio: O presidente Getúlio Vargas visita o Serviço Nacional de Recenseamento." "Manifestações Religiosas - Rio: A procissão do Bom Jesus da Penha."	Solenidade; Igreja Católica; Missa; Exército; Guerra Mundial, 2; Juventude; Diplomacia - US	Serviço Nacional de Recenseamento, Rio de Janeiro - DF; Procissão do Bom Jesus da Penha; Guerra Mundial, 2	Rio de Janeiro - DF; Resende - DF	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	N	CENS/II JIMS/OESP		Filme desaparecido, segundo CNT.
CINE JORNAL BRASILEIRO. V.3, N.020	CINE JORNAL BRASILEIRO. 3x20; EDIÇÃO ESPECIAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 282m, 24q	1943	BR	Rio de Janeiro	DF	"Cadetes do Brasil: A Escola Militar prepara para a luta os oficiais de amanhã."	Exército		Resende - DF; Rio Paraíba - localidade	Companhia(s) produtora(s): DIP - Departamento de Imprensa e Propaganda	S	Material examinado CENS/II		Certamente distribuido pela Cooperativa Cinematográfica Brasileira, embora as fontes não informem.
